No,Installed Capacity (MW),County,No of Turbines,Year
1,15,Donegal,25,1997
2,25,Sligo,10,2003
3,72.4,Donegal,38,2004
4,31.5,Wexford,16,2005
5,19.5,Clare,13,2005
6,59.5,Galway,70,2005
7,45,Kerry,15,2006
8,32.45,Kerry,23,2007
9,10.5,Wexford,5,2007
10,25.5,Cavan,17,2008
11,40,Kerry,20,2008
12,41.4,Cork,18,2008
13,8.5,Kerry,10,2009
14,6,Cavan,4,2009
15,32.5,Kerry,13,2009
16,18.4,Cork,8,2009
17,36,Tipperary,18,2009
18,16.1,Donegal,7,2009
19,48,Cavan,32,2009
20,57,Cork,19,2009
21,28.5,Limerick,19,2009
22,26,Leitrim,13,2010
23,22,Roscommon,11,2010
24,11.05,Sligo,13,2010
25,20.7,Wexford,9,2011
0,2.3,Wexford,1,2011
27,2.3,Wexford,1,2011
28,16.1,Wexford,7,2011
29,24,Tipperary,12,2013
30,12,Clare,6,2013
31,34.35,Limerick,16,2014
32,100,Cork,40,2015
33,84,Offaly,28,2014
34,36,Tipperary,16,2014
35,20,Waterford,8,2015
36,48,Kerry,16,2015
37,65.7,Cork,26,2016
38,5,Donegal,2,2016
39,64,Roscommon,20,2016
40,90,Donegal,36,2017
41,64,Galway,22,2017
42,17.25,Clare,5,2017
43,108,Galway,36,2017
44,35.2,Kerry,11,2018
45,54.4,Kerry,17,2018
46,13.8,Kerry,6,2018
47,37.05,Kerry,13,2018
48,27.5,Clare,11,2018
49,45,Clare,18,2018
50,35.2,Galway,11,2019
51,92.8,Mayo,29,2019
52,114.2,Kerry,38,2020
53,23.1,Kerry,7,2020
